municipality,house_district,house_member,senate_district,senate_member,congressional_district,congress_member
ABBOTTSTOWN BOROUGH,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
ARENDTSVILLE BOROUGH,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
BENDERSVILLE BOROUGH,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
BERWICK TWP,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
BIGLERVILLE BOROUGH,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
BONNEAUVILLE BOROUGH,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
BUTLER TWP,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
CARROLL VALLEY BOROUGH,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
CONEWAGO TWP,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
CUMBERLAND TWP,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
EAST BERLIN BOROUGH,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
FAIRFIELD BOROUGH,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
FRANKLIN TWP,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
FREEDOM TWP,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
GERMANY TWP,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
GETTYSBURG BOROUGH,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
HAMILTON TWP,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
HAMILTONBAN TWP,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
HIGHLAND TWP,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
HUNTINGTON TWP,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
LATIMORE TWP,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
LIBERTY TWP,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
LITTLESTOWN BOROUGH,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
MCSHERRYSTOWN BOROUGH,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
MENALLEN TWP,193,ECKER - R,33,MASTRIANO - R,13,JOYCE - R
MOUNT JOY TWP,91,MOUL - R,33,MASTRIANO - R,13,JOYCE - R
